"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C13,C14";"C_0603_1608Metric";2;"2.2u";;;
2;"C3,C4";"C_0603_1608Metric";2;"10p";;;
3;"C20,C19";"C_0402_1005Metric";2;"0.2p";;;
4;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Power";;;
5;"FB1,FB2";"L_0603_1608Metric";2;"600@100MHz";;;
6;"C6,C11,C8";"C_0603_1608Metric";3;"100n";;;
7;"R6,R3";"R_0603_1608Metric";2;"10K";;;
8;"C16,C15,C5";"C_0603_1608Metric";3;"4.7u";;;
9;"C2,C1";"C_0603_1608Metric";2;"18p";;;
10;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"SPI";;;
11;"L1";"L_0603_1608Metric";1;"4.7n";;;
12;"C10,C12,C9,C7";"C_0603_1608Metric";4;"1u";;;
13;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"Crystal";;;
14;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"GPIOs";;;
15;"R2";"R_0603_1608Metric";1;"0";;;
16;"L2";"L_0603_1608Metric";1;"2.2u";;;
17;"C17";"C_0402_1005Metric";1;"0.3p";;;
18;"U1";"BGA63N40P7X12_287X487X55N";1;"CYW43439KUBGT";;;
19;"C18";"C_0402_1005Metric";1;"0.36p";;;
20;"R4";"R_0603_1608Metric";1;"470";;;
21;"R5";"R_0603_1608Metric";1;"22";;;
22;"R1";"R_0603_1608Metric";1;"220";;;
