Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,18p,C1647
"C10, C12, C7, C9",0603,4,1u,C15849
"C11, C6, C8",0603,3,100n,C14663
"C13, C14",0603,2,2.2u,C23630
"C15, C16, C5",0603,3,4.7u,C19666
C17,0402,1,0.3p,C880415
C18,0402,1,0.36p,
"C19, C20",0402,2,0.2p,C2836760
"C3, C4",0603,2,10p,C1634
"FB1, FB2",0603,2,600@100MHz,
J1,PinHeader_1x03_P2.54mm_Vertical,1,GPIOs,
J2,PinHeader_1x04_P2.54mm_Vertical,1,SPI,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Power,
L1,0603,1,4.7n,C1030
L2,0603,1,2.2uH,
R1,0603,1,220,C22962
R2,0603,1,0,
"R3, R6",0603,2,10K,C25804
R4,0603,1,470, C23179
R5,0603,1,22,C23345
U1,BGA63N40P7X12_287X487X55N,1,CYW43439KUBGT,C5359496
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal,C2901740
