Designator,Mid X,Mid Y,Rotation,Layer
C1,147.55,-91.875,0.0,top
C10,135.125,-102.075,180.0,top
C11,144.525,-97.025,0.0,top
C12,132.625,-98.375,180.0,top
C13,134.825,-91.925,90.0,top
C14,136.375,-91.925,90.0,top
C15,131.725,-91.925,90.0,top
C16,129.025,-95.5,180.0,top
C17,141.85,-111.9,180.0,top
C18,138.85,-111.9,180.0,top
C19,141.85,-109.925,180.0,top
C2,148.325,-96.225,0.0,top
C20,138.85,-109.925,180.0,top
C3,140.55,-100.2,0.0,top
C4,140.55,-101.4,0.0,top
C5,135.65,-87.65,180.0,top
C6,133.275,-91.925,90.0,top
C7,144.525,-99.325,0.0,top
C8,137.95,-88.7,90.0,top
C9,135.625,-89.425,180.0,top
FB1,142.2,-97.775,90.0,top
FB2,149.35,-99.525,0.0,top
J1,149.585,-87.8,270.0,top
J2,140.64,-84.1,270.0,top
J3,153.3,-98.245,0.0,top
J4,151.29,-108.085,0.0,top
L1,138.8,-100.9,270.0,top
L2,132.35,-95.5,0.0,top
R1,144.5,-91.875,0.0,top
R3,139.25,-91.875,0.0,top
R4,140.9,-89.775,0.0,top
R5,135.125,-100.3,0.0,top
R6,150.675,-96.95,270.0,top
U1,137.8,-96.3,90.0,top
Y1,146.025,-94.05,180.0,top
